bayesian	{'0': 7, '94': 1, '234': 1, '459': 1}
endeavors~estimate~parameters	{'0': 1}
procedure~endeavors~estimate~parameters	{'0': 1}
underlying	{'0': 1, '104': 1, '153': 2, '156': 1, '160': 1, '192': 1, '234': 1, '279': 1, '281': 1, '409': 1, '450': 1, '452': 2, '455': 1}
parameters~underlying	{'0': 1}
estimate~parameters~underlying	{'0': 1}
endeavors~estimate~parameters~underlying	{'0': 1}
distribution	{'0': 14, '1': 2, '6': 8, '7': 3, '8': 3, '12': 2, '14': 1, '17': 1, '18': 2, '23': 1, '24': 2, '25': 3, '27': 1, '35': 1, '37': 1, '39': 2, '41': 1, '43': 2, '45': 3, '51': 2, '52': 2, '53': 1, '59': 3, '60': 2, '62': 2, '65': 3, '66': 1, '70': 4, '73': 1, '77': 1, '90': 1, '91': 2, '94': 5, '103': 1, '104': 2, '106': 1, '111': 2, '112': 1, '117': 2, '120': 1, '122': 1, '125': 1, '128': 1, '129': 1, '131': 8, '133': 1, '135': 29, '137': 2, '138': 1, '143': 2, '144': 1, '145': 4, '150': 3, '152': 1, '153': 8, '154': 2, '155': 24, '156': 7, '157': 4, '158': 2, '160': 10, '162': 2, '163': 11, '166': 2, '167': 3, '168': 3, '169': 12, '170': 7, '172': 8, '173': 2, '177': 2, '179': 1, '183': 1, '186': 1, '187': 1, '188': 1, '192': 3, '199': 2, '207': 1, '213': 1, '219': 2, '223': 4, '230': 1, '234': 11, '236': 16, '237': 3, '242': 6, '245': 3, '254': 1, '255': 1, '261': 7, '263': 2, '266': 3, '267': 1, '271': 2, '274': 2, '278': 1, '279': 5, '280': 6, '281': 11, '282': 1, '290': 4, '291': 2, '294': 3, '296': 4, '297': 1, '299': 2, '304': 6, '305': 1, '321': 1, '322': 5, '327': 1, '347': 2, '351': 3, '353': 3, '354': 4, '355': 1, '370': 1, '373': 3, '374': 2, '381': 2, '388': 1, '389': 1, '393': 5, '394': 2, '396': 1, '399': 5, '401': 1, '408': 1, '409': 1, '426': 1, '440': 1, '452': 1, '453': 1, '459': 11, '460': 3, '461': 3, '462': 4, '463': 17, '464': 13, '465': 20, '466': 7, '467': 31, '468': 3, '469': 2, '470': 2, '471': 1, '472': 12, '473': 3, '474': 4, '475': 12, '476': 23, '477': 6, '478': 3, '479': 4, '480': 4, '481': 10, '482': 30, '483': 3, '484': 3, '485': 2, '486': 3, '487': 3, '488': 3, '489': 8, '490': 21, '491': 6, '492': 7, '493': 8, '494': 7, '495': 8, '496': 15, '497': 11, '498': 7, '499': 3, '500': 3, '501': 5, '502': 8, '503': 4, '504': 4, '505': 2, '506': 7, '507': 58, '508': 5, '509': 8, '510': 12, '511': 10, '512': 4, '513': 6, '514': 6, '515': 1, '516': 3, '517': 4, '518': 5, '519': 4, '520': 8, '521': 6, '522': 8, '523': 11, '524': 2, '525': 8, '526': 6, '527': 16, '528': 8, '529': 8, '530': 8, '531': 6, '532': 3, '533': 9, '534': 1, '535': 19, '536': 9, '537': 23, '538': 1, '539': 15, '540': 11, '541': 3, '542': 7, '543': 14, '544': 4, '545': 4, '546': 3, '547': 9, '548': 4, '549': 5, '550': 8, '551': 21, '552': 4, '553': 3, '554': 8, '555': 3, '556': 17, '557': 3, '558': 6, '559': 9, '560': 2, '561': 1, '562': 14, '563': 1, '564': 5, '565': 4, '566': 11, '567': 2, '568': 3, '569': 5, '570': 4, '571': 3, '573': 1, '577': 2, '578': 3, '579': 2, '580': 2}
underlying~distribution	{'0': 1, '153': 1, '156': 1, '160': 1, '234': 1, '409': 1}
parameters~underlying~distribution	{'0': 1}
estimate~parameters~underlying~distribution	{'0': 1}
based	{'0': 2, '46': 1, '76': 2, '85': 1, '92': 1, '93': 1, '100': 1, '101': 1, '158': 1, '164': 1, '176': 1, '177': 1, '192': 1, '234': 1, '255': 1, '281': 1, '288': 1, '327': 1, '330': 1, '335': 1, '360': 1, '397': 1, '452': 1, '520': 1, '535': 1}
distribution~based	{'0': 2, '234': 1}
underlying~distribution~based	{'0': 1, '234': 1}
parameters~underlying~distribution~based	{'0': 1}
observed	{'0': 3, '6': 1, '17': 4, '43': 1, '104': 1, '229': 1, '230': 1, '234': 1, '256': 1, '278': 1, '287': 1, '294': 1, '322': 1, '323': 1, '391': 2, '393': 1, '395': 2, '398': 2, '399': 1, '409': 1, '414': 1, '420': 1, '470': 2, '477': 1, '517': 1, '523': 3, '535': 1, '537': 1, '551': 1}
based~observed	{'0': 1, '234': 1}
distribution~based~observed	{'0': 1, '234': 1}
underlying~distribution~based~observed	{'0': 1, '234': 1}
begin	{'0': 1, '6': 1, '130': 1, '153': 1}
distribution~begin	{'0': 1}
observed~distribution~begin	{'0': 1}
based~observed~distribution~begin	{'0': 1}
prior	{'0': 6, '143': 1, '144': 2, '166': 1, '194': 2, '257': 1, '459': 1}
begin~prior	{'0': 1}
distribution~begin~prior	{'0': 1}
observed~distribution~begin~prior	{'0': 1}
prior~distribution~based	{'0': 1}
begin~prior~distribution~based	{'0': 1}
anything	{'0': 1, '215': 1}
including	{'0': 1, '46': 1, '69': 1, '297': 1, '305': 1, '306': 1, '370': 1, '375': 1, '542': 1}
anything~including	{'0': 1}
based~anything~including	{'0': 1}
distribution~based~anything~including	{'0': 1}
assessment	{'0': 1}
including~assessment	{'0': 1}
anything~including~assessment	{'0': 1}
based~anything~including~assessment	{'0': 1}
relative	{'0': 1, '1': 2, '12': 2, '18': 2, '24': 4, '51': 2, '52': 2, '67': 1, '68': 2, '74': 1, '75': 2, '79': 2, '80': 1, '81': 5, '114': 1, '116': 1, '147': 2, '211': 1, '212': 1, '234': 1, '360': 1, '370': 2, '453': 2, '566': 1}
assessment~relative	{'0': 1}
including~assessment~relative	{'0': 1}
anything~including~assessment~relative	{'0': 1}
likelihoods	{'0': 1}
relative~likelihoods	{'0': 1}
assessment~relative~likelihoods	{'0': 1}
including~assessment~relative~likelihoods	{'0': 1}
likelihoods~parameters	{'0': 1}
relative~likelihoods~parameters	{'0': 1}
assessment~relative~likelihoods~parameters	{'0': 1}
results	{'0': 1, '17': 1, '82': 1, '178': 1, '192': 1, '274': 1, '278': 1, '296': 1, '327': 3, '367': 1, '420': 1, '465': 1, '496': 2, '511': 1, '537': 1, '542': 1}
parameters~results	{'0': 1}
likelihoods~parameters~results	{'0': 1}
relative~likelihoods~parameters~results	{'0': 1}
non-bayesian	{'0': 1}
results~non-bayesian	{'0': 1}
parameters~results~non-bayesian	{'0': 1}
likelihoods~parameters~results~non-bayesian	{'0': 1}
observations	{'0': 1, '39': 1}
practice	{'0': 1, '131': 1, '178': 1, '206': 1, '234': 1, '293': 1, '327': 2, '330': 1, '395': 1, '414': 2, '420': 1}
common	{'0': 1, '7': 1, '12': 1, '17': 2, '26': 1, '45': 1, '46': 1, '66': 1, '69': 1, '104': 1, '155': 1, '156': 1, '160': 1, '166': 1, '193': 1, '206': 1, '234': 2, '244': 1, '251': 1, '281': 1, '293': 1, '311': 1, '327': 1, '333': 1, '342': 1, '367': 1, '381': 1, '391': 1, '436': 1, '467': 1, '476': 1, '490': 1, '507': 1, '539': 1}
practice~common	{'0': 1}
observations~practice~common	{'0': 1}
non-bayesian~observations~practice~common	{'0': 1}
uniform	{'0': 2, '60': 1, '135': 3, '155': 1, '183': 1, '234': 1, '261': 1, '263': 2, '266': 1, '267': 1, '274': 1, '278': 3, '281': 6, '290': 4, '291': 2, '294': 1, '374': 1, '467': 1, '490': 1, '507': 1, '520': 1, '525': 1, '526': 6, '527': 9, '528': 6, '529': 6, '530': 7, '539': 1, '540': 6, '541': 1, '562': 2}
common~uniform	{'0': 1}
practice~common~uniform	{'0': 1}
observations~practice~common~uniform	{'0': 1}
over	{'0': 2, '6': 1, '53': 2, '82': 1, '113': 6, '150': 2, '163': 1, '192': 2, '194': 1, '199': 2, '224': 1, '231': 1, '243': 1, '280': 2, '281': 1, '302': 1, '305': 1, '307': 1, '308': 1, '447': 1, '463': 1, '489': 1, '490': 1, '493': 1, '502': 1, '512': 1, '522': 1, '539': 1, '542': 1, '545': 1, '561': 4}
distribution~over	{'0': 1, '6': 1, '489': 1, '490': 1, '493': 1, '502': 1}
uniform~distribution~over	{'0': 1, '490': 1}
common~uniform~distribution~over	{'0': 1}
appropriate	{'0': 1, '160': 1, '180': 1, '327': 1, '372': 1, '382': 1, '392': 1, '420': 1, '497': 1, '556': 1}
over~appropriate	{'0': 1}
distribution~over~appropriate	{'0': 1}
uniform~distribution~over~appropriate	{'0': 1}
range	{'0': 1, '10': 2, '12': 1, '13': 1, '14': 1, '28': 1, '29': 2, '33': 2, '41': 1, '45': 4, '46': 1, '47': 2, '48': 2, '60': 6, '68': 2, '155': 1, '156': 3, '177': 1, '199': 6, '234': 2, '237': 2, '242': 2, '267': 1, '291': 1, '293': 2, '308': 1, '340': 1, '368': 3, '374': 2, '467': 1, '502': 1, '508': 2, '525': 1, '531': 1, '561': 7}
appropriate~range	{'0': 1}
over~appropriate~range	{'0': 1}
distribution~over~appropriate~range	{'0': 1}
values	{'0': 3}
range~values	{'0': 1}
appropriate~range~values	{'0': 1}
over~appropriate~range~values	{'0': 1}
values~prior	{'0': 1}
range~values~prior	{'0': 1}
appropriate~range~values~prior	{'0': 1}
distribution~prior	{'0': 1, '459': 1}
values~distribution~prior	{'0': 1}
collect	{'0': 1}
distribution~collect	{'0': 1}
prior~distribution~collect	{'0': 1}
data	{'0': 1, '1': 1, '6': 5, '9': 1, '10': 1, '12': 2, '13': 1, '14': 1, '17': 3, '21': 1, '24': 3, '28': 2, '31': 2, '33': 3, '34': 1, '39': 4, '41': 2, '45': 1, '46': 1, '51': 1, '52': 1, '57': 1, '59': 1, '69': 1, '76': 1, '91': 1, '103': 1, '121': 1, '134': 1, '135': 3, '143': 1, '144': 2, '154': 1, '156': 2, '160': 4, '164': 5, '173': 1, '176': 1, '179': 2, '192': 1, '250': 3, '252': 1, '253': 1, '255': 1, '287': 1, '314': 1, '321': 4, '323': 1, '327': 4, '330': 1, '335': 1, '366': 3, '367': 5, '368': 3, '372': 2, '373': 1, '374': 2, '378': 2, '379': 1, '381': 3, '382': 7, '389': 1, '394': 2, '397': 1, '402': 1, '403': 1, '409': 1, '414': 1, '425': 2, '432': 1, '433': 1, '436': 3, '447': 3, '507': 1, '533': 1, '567': 5, '570': 1}
collect~data	{'0': 1}
distribution~collect~data	{'0': 1}
prior~distribution~collect~data	{'0': 1}
obtain	{'0': 2, '30': 1, '70': 1, '130': 1, '135': 1, '139': 1, '146': 1, '153': 1, '154': 1, '160': 1, '163': 1, '174': 1, '178': 1, '179': 1, '183': 1, '278': 1, '331': 1, '339': 2, '346': 3, '354': 1, '439': 1, '507': 1, '530': 1, '542': 1}
data~obtain	{'0': 1}
collect~data~obtain	{'0': 1}
distribution~collect~data~obtain	{'0': 1}
obtain~observed	{'0': 1}
data~obtain~observed	{'0': 1}
collect~data~obtain~observed	{'0': 1}
calculate	{'0': 1, '76': 1, '85': 1, '152': 1, '174': 2, '180': 1, '347': 1, '395': 3, '399': 2, '401': 1, '402': 1}
distribution~calculate	{'0': 1}
observed~distribution~calculate	{'0': 1}
obtain~observed~distribution~calculate	{'0': 1}
likelihood	{'0': 3, '55': 5, '87': 1, '93': 1, '94': 11, '95': 4, '96': 2, '101': 1, '188': 1, '216': 9, '217': 5, '218': 5, '234': 2, '255': 2, '256': 1, '401': 5, '402': 3, '404': 3, '405': 1, '420': 3, '436': 1, '545': 1, '556': 1}
likelihood~observed	{'0': 1, '256': 1}
calculate~likelihood~observed	{'0': 1}
distribution~calculate~likelihood~observed	{'0': 1}
observed~distribution	{'0': 1}
likelihood~observed~distribution	{'0': 1}
calculate~likelihood~observed~distribution	{'0': 1}
function	{'0': 2, '6': 1, '26': 4, '34': 1, '35': 2, '43': 1, '45': 7, '46': 1, '53': 1, '55': 8, '59': 1, '62': 1, '69': 4, '70': 3, '73': 1, '77': 1, '83': 1, '87': 2, '94': 2, '95': 2, '115': 1, '117': 1, '119': 2, '120': 17, '123': 4, '124': 6, '134': 5, '135': 4, '137': 6, '138': 8, '139': 1, '140': 1, '143': 1, '145': 2, '146': 3, '150': 1, '153': 1, '155': 1, '156': 1, '157': 3, '163': 6, '164': 1, '166': 17, '168': 1, '169': 1, '170': 1, '171': 1, '176': 4, '177': 4, '183': 4, '188': 1, '194': 1, '199': 8, '201': 1, '202': 1, '203': 1, '205': 1, '207': 7, '208': 1, '211': 5, '212': 3, '216': 1, '217': 2, '218': 6, '219': 3, '223': 9, '224': 1, '227': 1, '234': 7, '236': 14, '237': 2, '242': 9, '243': 1, '254': 2, '257': 1, '271': 2, '280': 9, '282': 2, '289': 1, '296': 1, '297': 1, '301': 3, '304': 2, '307': 1, '310': 1, '313': 1, '318': 1, '322': 2, '324': 1, '325': 2, '327': 6, '328': 1, '329': 1, '330': 3, '332': 1, '335': 7, '336': 2, '339': 5, '342': 1, '346': 1, '347': 1, '351': 6, '354': 4, '366': 1, '373': 1, '395': 1, '399': 2, '453': 1, '455': 2, '459': 7, '460': 2, '462': 2, '463': 2, '464': 3, '465': 8, '468': 4, '471': 1, '472': 4, '474': 2, '475': 6, '476': 4, '477': 9, '479': 2, '482': 15, '489': 1, '490': 5, '491': 2, '493': 3, '494': 6, '496': 2, '497': 2, '498': 4, '501': 4, '502': 3, '503': 2, '504': 6, '505': 2, '506': 1, '507': 13, '508': 9, '509': 2, '510': 2, '511': 3, '512': 5, '514': 2, '515': 4, '516': 1, '517': 2, '518': 4, '519': 1, '520': 1, '521': 2, '522': 5, '523': 8, '524': 4, '525': 3, '526': 2, '527': 8, '528': 1, '529': 2, '530': 2, '531': 3, '533': 1, '535': 4, '536': 5, '537': 5, '539': 2, '540': 3, '543': 6, '544': 1, '545': 2, '547': 2, '549': 1, '550': 7, '551': 7, '554': 4, '555': 2, '556': 17, '557': 2, '558': 6, '561': 2, '562': 3, '563': 1, '564': 5, '566': 10, '568': 9, '570': 2, '579': 2}
distribution~function	{'0': 1, '35': 1, '155': 1, '354': 1, '465': 1, '475': 1, '477': 1, '482': 1, '489': 1, '490': 1, '497': 1, '508': 2, '512': 1, '524': 1, '527': 1, '531': 1, '540': 2, '551': 1, '556': 9, '557': 1, '558': 2, '562': 1, '564': 2, '570': 1}
observed~distribution~function	{'0': 1}
likelihood~observed~distribution~function	{'0': 1}
parameter	{'0': 2, '26': 1, '94': 2, '95': 1, '120': 1, '123': 1, '160': 2, '172': 1, '176': 1, '178': 1, '187': 1, '188': 4, '217': 1, '234': 1, '327': 4, '330': 2, '333': 1, '335': 4, '339': 3, '351': 1, '353': 1, '375': 1, '393': 2, '402': 1, '459': 1, '463': 1, '467': 1, '475': 1, '476': 2, '482': 10, '490': 2, '491': 1, '492': 2, '493': 1, '498': 1, '503': 1, '511': 1, '513': 1, '518': 1, '530': 1, '531': 1, '536': 2, '537': 1, '539': 1, '551': 2, '554': 1, '565': 3}
function~parameter	{'0': 1, '518': 1}
distribution~function~parameter	{'0': 1, '518': 1}
observed~distribution~function~parameter	{'0': 1}
multiply	{'0': 1}
values~multiply	{'0': 1}
parameter~values~multiply	{'0': 1}
function~parameter~values~multiply	{'0': 1}
multiply~likelihood	{'0': 1}
values~multiply~likelihood	{'0': 1}
parameter~values~multiply~likelihood	{'0': 1}
likelihood~function	{'0': 1, '217': 1}
multiply~likelihood~function	{'0': 1}
values~multiply~likelihood~function	{'0': 1}
function~prior	{'0': 1}
likelihood~function~prior	{'0': 1}
multiply~likelihood~function~prior	{'0': 1}
normalize	{'0': 1, '281': 1}
distribution~normalize	{'0': 1}
prior~distribution~normalize	{'0': 1}
function~prior~distribution~normalize	{'0': 1}
normalize~obtain	{'0': 1}
distribution~normalize~obtain	{'0': 1}
prior~distribution~normalize~obtain	{'0': 1}
unit	{'0': 1, '6': 1, '70': 1, '136': 1, '163': 1, '170': 1, '264': 1, '266': 1, '270': 1, '280': 1, '286': 1, '304': 1, '305': 3, '358': 2, '359': 2, '360': 2, '361': 1, '362': 2, '363': 1, '364': 1, '365': 1, '490': 1, '492': 2, '522': 1, '563': 1, '578': 1}
obtain~unit	{'0': 1}
normalize~obtain~unit	{'0': 1}
distribution~normalize~obtain~unit	{'0': 1}
probability	{'0': 1, '3': 1, '6': 4, '17': 8, '23': 1, '45': 5, '53': 2, '55': 2, '62': 1, '66': 1, '70': 3, '87': 1, '109': 1, '112': 1, '113': 2, '115': 1, '117': 1, '119': 2, '120': 4, '123': 1, '134': 1, '138': 1, '145': 1, '146': 2, '156': 1, '163': 5, '166': 2, '170': 2, '174': 1, '177': 2, '178': 1, '181': 2, '182': 4, '183': 8, '184': 4, '185': 1, '186': 5, '187': 4, '188': 6, '189': 1, '190': 12, '191': 1, '192': 12, '193': 2, '195': 5, '197': 2, '198': 4, '199': 6, '200': 1, '203': 1, '204': 6, '205': 1, '206': 3, '207': 3, '208': 1, '210': 4, '211': 2, '215': 2, '216': 5, '217': 4, '218': 2, '219': 5, '221': 2, '222': 2, '223': 3, '224': 1, '225': 1, '226': 2, '227': 3, '228': 3, '229': 2, '230': 4, '232': 1, '234': 17, '235': 4, '236': 11, '237': 4, '238': 2, '239': 6, '240': 4, '241': 1, '242': 5, '243': 1, '244': 3, '245': 3, '246': 2, '249': 1, '250': 1, '251': 2, '252': 1, '255': 4, '256': 5, '258': 4, '259': 1, '278': 2, '280': 4, '282': 4, '289': 2, '293': 1, '301': 1, '304': 5, '305': 1, '306': 2, '310': 1, '322': 1, '347': 6, '349': 2, '350': 2, '353': 1, '355': 1, '393': 1, '395': 3, '398': 2, '411': 2, '413': 1, '414': 1, '415': 1, '417': 1, '419': 1, '420': 2, '426': 1, '440': 1, '441': 1, '442': 5, '446': 1, '448': 1, '449': 3, '459': 1, '460': 1, '464': 1, '465': 1, '470': 1, '471': 1, '472': 1, '475': 2, '476': 1, '477': 2, '482': 2, '490': 3, '491': 1, '493': 1, '494': 1, '495': 1, '496': 1, '497': 1, '498': 1, '501': 1, '502': 1, '504': 1, '507': 3, '508': 5, '510': 1, '512': 1, '517': 2, '518': 1, '522': 2, '523': 2, '524': 1, '525': 1, '527': 2, '530': 1, '531': 1, '535': 5, '536': 1, '537': 6, '539': 2, '540': 2, '542': 3, '543': 1, '544': 1, '545': 6, '547': 1, '549': 2, '550': 2, '551': 2, '552': 3, '554': 1, '556': 7, '558': 1, '561': 2, '562': 2, '565': 1, '566': 6, '567': 1, '568': 4, '570': 2, '581': 1, '582': 2}
unit~probability	{'0': 1}
obtain~unit~probability	{'0': 1}
normalize~obtain~unit~probability	{'0': 1}
probability~over	{'0': 1}
unit~probability~over	{'0': 1}
obtain~unit~probability~over	{'0': 1}
possible	{'0': 1, '28': 1, '30': 1, '76': 2, '135': 1, '139': 1, '152': 1, '160': 1, '183': 2, '190': 1, '192': 1, '193': 1, '234': 3, '246': 3, '274': 1, '278': 1, '281': 1, '327': 1, '341': 2, '347': 1, '369': 1, '395': 2, '407': 1, '420': 1, '513': 1, '535': 1, '546': 1, '556': 1, '565': 1, '566': 1}
over~possible	{'0': 1}
probability~over~possible	{'0': 1}
unit~probability~over~possible	{'0': 1}
posterior	{'0': 1}
values~posterior	{'0': 1}
possible~values~posterior	{'0': 1}
over~possible~values~posterior	{'0': 1}
mode	{'0': 1, '7': 2, '10': 1, '27': 1, '39': 9, '40': 5, '59': 4, '60': 1, '63': 2, '65': 2, '103': 2, '134': 1, '143': 4, '144': 3, '155': 1, '459': 1, '460': 1, '481': 1, '513': 1, '525': 2}
mode~distribution	{'0': 1}
posterior~mode~distribution	{'0': 1}
distribution~parameter	{'0': 1, '536': 1, '551': 1}
mode~distribution~parameter	{'0': 1}
estimate~bayesian	{'0': 1}
parameter~estimate~bayesian	{'0': 1}
distribution~parameter~estimate~bayesian	{'0': 1}
analog	{'0': 1, '475': 1, '476': 1, '531': 1, '543': 1}
bayesian~analog	{'0': 1}
estimate~bayesian~analog	{'0': 1}
parameter~estimate~bayesian~analog	{'0': 1}
confidence	{'0': 1, '70': 7, '71': 4, '77': 4, '156': 4, '192': 2, '322': 1, '385': 1, '408': 1, '414': 1, '453': 2, '508': 2, '523': 3}
analog~confidence	{'0': 1}
bayesian~analog~confidence	{'0': 1}
estimate~bayesian~analog~confidence	{'0': 1}
intervals	{'0': 1}
using	{'0': 1, '6': 1, '17': 1, '34': 1, '55': 1, '76': 1, '98': 1, '99': 1, '119': 4, '120': 2, '123': 2, '135': 1, '137': 1, '146': 3, '152': 2, '153': 1, '160': 2, '173': 1, '183': 1, '192': 1, '195': 1, '269': 1, '278': 1, '322': 1, '327': 3, '330': 3, '339': 1, '342': 1, '343': 1, '366': 1, '369': 2, '393': 2, '395': 1, '434': 1, '472': 1, '482': 1, '493': 1, '494': 2, '502': 1, '507': 3, '508': 1, '511': 1, '523': 1, '540': 1, '556': 2}
intervals~using	{'0': 1}
confidence~intervals~using	{'0': 1}
analog~confidence~intervals~using	{'0': 1}
standard	{'0': 1, '55': 1, '56': 1, '60': 1, '69': 1, '70': 2, '72': 1, '77': 2, '94': 3, '104': 2, '114': 1, '116': 1, '122': 1, '127': 1, '131': 1, '134': 1, '135': 4, '137': 2, '143': 1, '144': 1, '147': 1, '150': 2, '153': 1, '155': 1, '156': 13, '157': 3, '158': 7, '160': 2, '161': 2, '223': 1, '236': 1, '266': 1, '280': 3, '294': 1, '297': 1, '312': 1, '323': 1, '327': 2, '339': 1, '345': 1, '354': 1, '410': 1, '423': 1, '453': 1, '470': 1, '471': 1, '482': 2, '490': 1, '507': 4, '510': 1, '511': 1, '517': 2, '522': 3, '523': 1, '562': 1, '582': 1}
using~standard	{'0': 1, '339': 1}
intervals~using~standard	{'0': 1}
confidence~intervals~using~standard	{'0': 1}
procedure~bayesian	{'0': 1}
standard~procedure~bayesian	{'0': 1}
using~standard~procedure~bayesian	{'0': 1}
procedure~bayesian~analysis	{'0': 1}
standard~procedure~bayesian~analysis	{'0': 1}
somewhat	{'0': 1, '152': 1, '244': 1}
analysis~somewhat	{'0': 1}
bayesian~analysis~somewhat	{'0': 1}
procedure~bayesian~analysis~somewhat	{'0': 1}
controversial	{'0': 1}
somewhat~controversial	{'0': 1}
analysis~somewhat~controversial	{'0': 1}
bayesian~analysis~somewhat~controversial	{'0': 1}
because	{'0': 1, '13': 1, '131': 1, '135': 1, '178': 1, '179': 1, '221': 1, '244': 1, '327': 2, '330': 1, '340': 1, '367': 1, '394': 1, '395': 1, '507': 4}
controversial~because	{'0': 1}
somewhat~controversial~because	{'0': 1}
analysis~somewhat~controversial~because	{'0': 1}
validity	{'0': 1}
because~validity	{'0': 1}
controversial~because~validity	{'0': 1}
somewhat~controversial~because~validity	{'0': 1}
depends	{'0': 1}
validity~depends	{'0': 1}
because~validity~depends	{'0': 1}
controversial~because~validity~depends	{'0': 1}
valid	{'0': 1, '354': 1, '398': 1}
depends~valid	{'0': 1}
validity~depends~valid	{'0': 1}
because~validity~depends~valid	{'0': 1}
valid~prior	{'0': 1}
depends~valid~prior	{'0': 1}
validity~depends~valid~prior	{'0': 1}
cannot	{'0': 1, '69': 1, '327': 1, '330': 1, '450': 1, '531': 1, '551': 1}
distribution~cannot	{'0': 1}
prior~distribution~cannot	{'0': 1}
valid~prior~distribution~cannot	{'0': 1}
assessed	{'0': 1}
cannot~assessed	{'0': 1}
distribution~cannot~assessed	{'0': 1}
prior~distribution~cannot~assessed	{'0': 1}
statistically	{'0': 1, '46': 1, '76': 1, '122': 1, '178': 1, '210': 2, '395': 1, '398': 1}
season	{'0': 2, '6': 1, '53': 1, '109': 1, '164': 3}
statistically~season	{'0': 1}
assessed~statistically~season	{'0': 1}
cannot~assessed~statistically~season	{'0': 1}
episode	{'0': 2, '6': 1, '53': 1, '109': 1, '164': 1}
season~episode	{'0': 2, '53': 1, '109': 1, '164': 1}
statistically~season~episode	{'0': 1}
assessed~statistically~season~episode	{'0': 1}
man	{'0': 1, '6': 1, '109': 1}
episode~man	{'0': 1, '109': 1}
